CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
M661*0*Rupture of synovium*Rotura de la membrana sinovial
M6610*1*Rupture of synovium, unspecified joint*Rotura de la membrana sinovial, articulación no especificada
M6611*0*Rupture of synovium, shoulder*Rotura de la membrana sinovial, hombro
M66111*1*Rupture of synovium, right shoulder*Rotura de la membrana sinovial, hombro derecho
M66112*1*Rupture of synovium, left shoulder*Rotura de la membrana sinovial, hombro izquierdo
M80079G*1*Age-rel osteopor w crnt path fx, unsp ank/ft, 7thG*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie no especificados, encuentro posterior por fractura con cicatrización tardía
M80079K*1*Age-rel osteopor w crnt path fx, unsp ank/ft, 7thK*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie no especificados, encuentro posterior por fractura con seudoartrosis
M80079P*1*Age-rel osteopor w crnt path fx, unsp ank/ft, 7thP*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie no especificados, encuentro posterior por fractura con consolidación defectuosa
M80079S*1*Age-rel osteopor w current path fx, unsp ank/ft, sequela*Osteoporosis relacionada con la edad con fractura patológica actual, tobillo y pie no especificados, secuela
M8008*0*Age-related osteopor w current path fracture, vertebra(e)*Osteoporosis relacionada con la edad con fractura patológica actual, vértebra (e)
M8008XA*1*Age-rel osteopor w current path fracture, vertebra(e), init*Osteoporosis relacionada con la edad con fractura patológica actual, vértebra (e), encuentro inicial por fractura
M8008XD*1*Age-rel osteopor w crnt path fx, verteb, 7thD*Osteoporosis relacionada con la edad con fractura patológica actual, vértebra (e), encuentro posterior por fractura con curación de rutina
M8008XG*1*Age-rel osteopor w crnt path fx, verteb, 7thG*Osteoporosis relacionada con la edad con fractura patológica actual, vértebra (e), encuentro posterior por fractura con curación tardía
M8008XK*1*Age-rel osteopor w crnt path fx, verteb, 7thK*Osteoporosis relacionada con la edad con fractura patológica actual, vértebra (e), encuentro posterior por fractura con seudoartrosis
M8008XP*1*Age-rel osteopor w crnt path fx, verteb, 7thP*Osteoporosis relacionada con la edad con fractura patológica actual, vértebra (e), encuentro posterior por fractura con consolidación defectuosa
M8008XS*1*Age-rel osteopor w current path fracture, verteb, sequela*Osteoporosis relacionada con la edad con fractura patológica actual, vértebra (e), secuela
M808*0*Other osteoporosis with current pathological fracture*Otras osteoporosis con fractura patológica actual
M8080*0*Oth osteoporosis w current pathological fracture, unsp site*Otra osteoporosis con fractura patológica actual, sitio no especificado
M8080XA*1*Oth osteopor w current path fracture, unsp site, init*Otra osteoporosis con fractura patológica actual, sitio no especificado, encuentro inicial de fractura
M8080XD*1*Oth osteopor w crnt path fx, unsp site, 7thD*Otra osteoporosis con fractura patológica actual, sitio no especificado, encuentro posterior por fractura con curación de rutina
M8080XG*1*Oth osteopor w crnt path fx, unsp site, 7thG*Otra osteoporosis con fractura patológica actual, sitio no especificado, encuentro posterior por fractura con curación retrasada
M8080XK*1*Oth osteopor w crnt path fx, unsp site, 7thK*Otra osteoporosis con fractura patológica actual, sitio no especificado, encuentro posterior por fractura con seudoartrosis
M8080XP*1*Oth osteopor w crnt path fx, unsp site, 7thP*Otra osteoporosis con fractura patológica actual, sitio no especificado, encuentro posterior por fractura con consolidación defectuosa
M8080XS*1*Oth osteopor w current path fracture, unsp site, sequela*Otras osteoporosis con fractura patológica actual, localización no especificada, secuela
M8081*0*Other osteoporosis with pathological fracture, shoulder*Otras osteoporosis con fractura patológica, hombro
M80811*0*Oth osteoporosis w current pathological fracture, r shoulder*Otras osteoporosis con fractura patológica actual, hombro derecho
M80811A*1*Oth osteopor w current path fracture, r shoulder, init*Otra osteoporosis con fractura patológica actual, hombro derecho, encuentro inicial por fractura
M80811D*1*Oth osteopor w crnt path fx, r shldr, 7thD*Otra osteoporosis con fractura patológica actual, hombro derecho, encuentro posterior por fractura con curación de rutina
M80811G*1*Oth osteopor w crnt path fx, r shldr, 7thG*Otra osteoporosis con fractura patológica actual, hombro derecho, encuentro posterior por fractura con cicatrización tardía
M80811K*1*Oth osteopor w crnt path fx, r shldr, subs for fx w nonunion*Otra osteoporosis con fractura patológica actual, hombro derecho, encuentro posterior por fractura con seudoartrosis
M80811P*1*Oth osteopor w crnt path fx, r shldr, subs for fx w malunion*Otras osteoporosis con fractura patológica actual, hombro derecho, encuentro posterior por fractura con consolidación defectuosa
M80811S*1*Oth osteopor w current path fracture, r shoulder, sequela*Otras osteoporosis con fractura patológica actual, hombro derecho, secuela
M80812*0*Oth osteoporosis w current pathological fracture, l shoulder*Otras osteoporosis con fractura patológica actual, hombro izquierdo
M80812A*1*Oth osteopor w current path fracture, l shoulder, init*Otra osteoporosis con fractura patológica actual, hombro izquierdo, encuentro inicial por fractura
M80812D*1*Oth osteopor w crnt path fx, l shldr, 7thD*Otra osteoporosis con fractura patológica actual, hombro izquierdo, encuentro posterior por fractura con curación de rutina
M80812G*1*Oth osteopor w crnt path fx, l shldr, 7thG*Otra osteoporosis con fractura patológica actual, hombro izquierdo, encuentro posterior por fractura con curación tardía
M80812K*1*Oth osteopor w crnt path fx, l shldr, subs for fx w nonunion*Otra osteoporosis con fractura patológica actual, hombro izquierdo, encuentro posterior por fractura con seudoartrosis
M80812P*1*Oth osteopor w crnt path fx, l shldr, subs for fx w malunion*Otra osteoporosis con fractura patológica actual, hombro izquierdo, encuentro posterior por fractura con consolidación defectuosa
M80812S*1*Oth osteopor w current path fracture, l shoulder, sequela*Otras osteoporosis con fractura patológica actual, hombro izquierdo, secuela
M80819*0*Oth osteopor w current pathological fracture, unsp shoulder*Otras osteoporosis con fractura patológica actual, hombro no especificado
M80819A*1*Oth osteopor w current path fracture, unsp shoulder, init*Otra osteoporosis con fractura patológica actual, hombro no especificado, encuentro inicial por fractura
M80819D*1*Oth osteopor w crnt path fx, unsp shldr, 7thD*Otra osteoporosis con fractura patológica actual, hombro no especificado, encuentro posterior por fractura con curación de rutina
M80819G*1*Oth osteopor w crnt path fx, unsp shldr, 7thG*Otra osteoporosis con fractura patológica actual, hombro no especificado, encuentro posterior por fractura con cicatrización tardía
M80819K*1*Oth osteopor w crnt path fx, unsp shldr, 7thK*Otra osteoporosis con fractura patológica actual, hombro no especificado, encuentro posterior por fractura con seudoartrosis
M80819P*1*Oth osteopor w crnt path fx, unsp shldr, 7thP*Otra osteoporosis con fractura patológica actual, hombro no especificado, encuentro posterior por fractura con consolidación defectuosa
M80819S*1*Oth osteopor w current path fracture, unsp shoulder, sequela*Otras osteoporosis con fractura patológica actual, hombro no especificado, secuela
M84529P*1*Path fx in neopltc dis, unsp humerus, subs for fx w malunion*Fractura patológica en enfermedad neoplásica, húmero no especificado, encuentro posterior por fractura con consolidación defectuosa
M84529S*1*Path fracture in neoplastic disease, unsp humerus, sequela*Fractura patológica en enfermedad neoplásica, húmero no especificado, secuela
M8453*0*Pathological fracture in neoplastic disease, ulna and radius*Fractura patológica en enfermedad neoplásica, cúbito y radio
M84531*0*Pathological fracture in neoplastic disease, right ulna*Fractura patológica en enfermedad neoplásica, cúbito derecho
M84531A*1*Path fracture in neoplastic disease, right ulna, init*Fractura patológica en enfermedad neoplásica, cúbito derecho, encuentro inicial por fractura
M84531D*1*Path fx in neopltc disease, r ulna, subs for fx w routn heal*Fractura patológica en enfermedad neoplásica, cúbito derecho, encuentro posterior por fractura con curación rutinaria
M84531G*1*Path fx in neopltc disease, r ulna, subs for fx w delay heal*Fractura patológica en enfermedad neoplásica, cúbito derecho, encuentro posterior por fractura con cicatrización tardía
M84531K*1*Path fx in neopltc disease, r ulna, subs for fx w nonunion*Fractura patológica en enfermedad neoplásica, cúbito derecho, encuentro posterior por fractura con seudoartrosis
M84531P*1*Path fx in neopltc disease, r ulna, subs for fx w malunion*Fractura patológica en enfermedad neoplásica, cúbito derecho, encuentro posterior por fractura con mala consolidación
M84531S*1*Path fracture in neoplastic disease, right ulna, sequela*Fractura patológica en enfermedad neoplásica, cúbito derecho, secuela
M84532*0*Pathological fracture in neoplastic disease, left ulna*Fractura patológica en enfermedad neoplásica, cúbito izquierdo
M84532A*1*Pathological fracture in neoplastic disease, left ulna, init*Fractura patológica en enfermedad neoplásica, cúbito izquierdo, encuentro inicial por fractura
M84532D*1*Path fx in neopltc disease, l ulna, subs for fx w routn heal*Fractura patológica en enfermedad neoplásica, cúbito izquierdo, encuentro posterior por fractura con curación rutinaria
M84532G*1*Path fx in neopltc disease, l ulna, subs for fx w delay heal*Fractura patológica en enfermedad neoplásica, cúbito izquierdo, encuentro posterior por fractura con cicatrización tardía
M84532K*1*Path fx in neopltc disease, l ulna, subs for fx w nonunion*Fractura patológica en enfermedad neoplásica, cúbito izquierdo, encuentro posterior por fractura con seudoartrosis
M84532P*1*Path fx in neopltc disease, l ulna, subs for fx w malunion*Fractura patológica en enfermedad neoplásica, cúbito izquierdo, encuentro posterior por fractura con mala consolidación
M84532S*1*Path fracture in neoplastic disease, left ulna, sequela*Fractura patológica en enfermedad neoplásica, cúbito izquierdo, secuela
M84533*0*Pathological fracture in neoplastic disease, right radius*Fractura patológica en enfermedad neoplásica, radio derecho
M84533A*1*Path fracture in neoplastic disease, right radius, init*Fractura patológica en enfermedad neoplásica, radio derecho, encuentro inicial por fractura
M84533D*1*Path fx in neopltc dis, r radius, subs for fx w routn heal*Fractura patológica en enfermedad neoplásica, radio derecho, encuentro posterior por fractura con curación rutinaria
M84533G*1*Path fx in neopltc dis, r radius, subs for fx w delay heal*Fractura patológica en enfermedad neoplásica, radio derecho, encuentro posterior por fractura con curación tardía
M84533K*1*Path fx in neopltc disease, r radius, subs for fx w nonunion*Fractura patológica en enfermedad neoplásica, radio derecho, encuentro posterior por fractura con seudoartrosis
M84533P*1*Path fx in neopltc disease, r radius, subs for fx w malunion*Fractura patológica en enfermedad neoplásica, radio derecho, encuentro posterior por fractura con mala consolidación
M84533S*1*Path fracture in neoplastic disease, right radius, sequela*Fractura patológica en enfermedad neoplásica, radio derecho, secuela
M84534*0*Pathological fracture in neoplastic disease, left radius*Fractura patológica en enfermedad neoplásica, radio izquierdo
M84534A*1*Path fracture in neoplastic disease, left radius, init*Fractura patológica en enfermedad neoplásica, radio izquierdo, encuentro inicial por fractura
M84534D*1*Path fx in neopltc dis, left rad, subs for fx w routn heal*Fractura patológica en enfermedad neoplásica, radio izquierdo, encuentro posterior por fractura con curación rutinaria
M84534G*1*Path fx in neopltc dis, left rad, subs for fx w delay heal*Fractura patológica en enfermedad neoplásica, radio izquierdo, encuentro posterior por fractura con curación tardía
M84534K*1*Path fx in neopltc dis, left radius, subs for fx w nonunion*Fractura patológica en enfermedad neoplásica, radio izquierdo, encuentro posterior por fractura con seudoartrosis
M84534P*1*Path fx in neopltc dis, left radius, subs for fx w malunion*Fractura patológica en enfermedad neoplásica, radio izquierdo, encuentro posterior por fractura con mala consolidación
M84534S*1*Path fracture in neoplastic disease, left radius, sequela*Fractura patológica en enfermedad neoplásica, radio izquierdo, secuela
M84539*0*Path fracture in neoplastic disease, unsp ulna and radius*Fractura patológica en enfermedad neoplásica, cúbito y radio no especificados
M84539A*1*Path fracture in neopltc disease, unsp ulna and radius, init*Fractura patológica en enfermedad neoplásica, cúbito y radio no especificados, encuentro inicial por fractura
M84539D*1*Path fx in neopltc dis, unsp ulna & rad, 7thD*Fractura patológica en enfermedad neoplásica, cúbito y radio no especificados, encuentro posterior por fractura con curación rutinaria
M84539G*1*Path fx in neopltc dis, unsp ulna & rad, 7thG*Fractura patológica en enfermedad neoplásica, cúbito y radio no especificados, encuentro posterior por fractura con curación tardía
